sample_index,gps_time,time_since_start_s,time_centered_s,strain_h1,strain_l1,strain_v1,strain_mean_h1_l1,strain_mean_h1_l1_v1,strain_abs_mean_h1_l1,strain_abs_mean_h1_l1_v1,strain_abs_diff_h1_l1,strain_abs_diff_h1_v1,strain_abs_diff_l1_v1,time_from_peak_s
0,1187006834.0,0.0,-2048.0,-2.3916458936432882e-18,-6.299222323981112e-19,-2.1601580082865736e-19,-1.5107840630206997e-18,-1.0791946422900189e-18,1.5107840630206997e-18,1.0791946422900189e-18,1.761723661245177e-18,2.175630092814631e-18,4.1390643156945393e-19,-297.0234375
1,1187006834.000244,0.000244140625,-2047.999755859375,-2.411659834149055e-18,-6.2362819861992055e-19,-2.6132997693871773e-19,-1.5176440163844877e-18,-1.0988726699025644e-18,1.5176440163844877e-18,1.0988726699025644e-18,1.788031635529135e-18,2.150329857210337e-18,3.6229822168120282e-19,-297.023193359375
2,1187006834.0004883,0.00048828125,-2047.99951171875,-2.4273819446385704e-18,-6.286300105109301e-19,-2.301717083937458e-19,-1.5280059775747504e-18,-1.0953945545144154e-18,1.5280059775747504e-18,1.0953945545144154e-18,1.7987519341276403e-18,2.1972102362448247e-18,3.9845830211718434e-19,-297.02294921875
3,1187006834.0007324,0.000732421875,-2047.999267578125,-2.426351294492099e-18,-6.245285405314715e-19,-2.6025803154161887e-19,-1.5254399175117852e-18,-1.1037126221883965e-18,1.5254399175117852e-18,1.1037126221883965e-18,1.8018227539606275e-18,2.16609326295048e-18,3.6427050898985253e-19,-297.022705078125
4,1187006834.0009766,0.0009765625,-2047.9990234375,-2.42799642575494e-18,-6.297281151356796e-19,-2.5678505573496247e-19,-1.52886227044531e-18,-1.1048365322085273e-18,1.52886227044531e-18,1.1048365322085273e-18,1.7982683106192597e-18,2.1712113700199774e-18,3.729430594007172e-19,-297.0224609375
5,1187006834.0012207,0.001220703125,-2047.998779296875,-2.44629101583064e-18,-6.353254366788436e-19,-2.615658377935278e-19,-1.5408082262547417e-18,-1.1143940967676705e-18,1.5408082262547417e-18,1.1143940967676705e-18,1.810965579151797e-18,2.1847251780371126e-18,3.737595988853157e-19,-297.022216796875
6,1187006834.0014648,0.00146484375,-2047.99853515625,-2.46296168680364e-18,-6.344955841882898e-19,-2.685423061696263e-19,-1.5487286354959652e-18,-1.121999859053852e-18,1.5487286354959652e-18,1.121999859053852e-18,1.82846610261535e-18,2.1944193806340138e-18,3.659532780186635e-19,-297.02197265625
7,1187006834.001709,0.001708984375,-2047.998291015625,-2.463456408337297e-18,-6.411082784453833e-19,-2.6285570274338425e-19,-1.5522823433913405e-18,-1.1224734631753551e-18,1.5522823433913405e-18,1.1224734631753551e-18,1.8223481298919138e-18,2.200600705593913e-18,3.782525757019991e-19,-297.021728515625
8,1187006834.0019531,0.001953125,-2047.998046875,-2.464038845378586e-18,-6.344150515924164e-19,-3.062733318561184e-19,-1.5492269484855014e-18,-1.1349090762757069e-18,1.5492269484855014e-18,1.1349090762757069e-18,1.8296237937861697e-18,2.157765513522468e-18,3.281417197362981e-19,-297.021484375
9,1187006834.0021973,0.002197265625,-2047.997802734375,-2.481932804829852e-18,-6.282718616548693e-19,-2.6455777678321974e-19,-1.5551023332423609e-18,-1.124920814422647e-18,1.5551023332423609e-18,1.124920814422647e-18,1.8536609431749826e-18,2.2173750280466326e-18,3.6371408487164943e-19,-297.021240234375
10,1187006834.0024414,0.00244140625,-2047.99755859375,-2.499761591062653e-18,-6.313671382411429e-19,-3.0899603410498503e-19,-1.5655643646518977e-18,-1.1467082544695937e-18,1.5655643646518977e-18,1.1467082544695937e-18,1.86839445282151e-18,2.190765556957668e-18,3.2237110413615786e-19,-297.02099609375
11,1187006834.0026855,0.002685546875,-2047.997314453125,-2.4996530190738922e-18,-6.252788286306653e-19,-2.960445477100719e-19,-1.562465923852279e-18,-1.1403254651382098e-18,1.562465923852279e-18,1.1403254651382098e-18,1.874374190443227e-18,2.2036084713638203e-18,3.2923428092059344e-19,-297.020751953125
12,1187006834.0029297,0.0029296875,-2047.9970703125,-2.4997403747611146e-18,-6.303669019299563e-19,-3.269348051340724e-19,-1.5650536383455357e-18,-1.152347360608381e-18,1.5650536383455357e-18,1.152347360608381e-18,1.8693734728311586e-18,2.1728055696270426e-18,3.034320967958839e-19,-297.0205078125
13,1187006834.0031738,0.003173828125,-2047.996826171875,-2.5148265186308e-18,-6.390419192985926e-19,-3.0572547695201147e-19,-1.5769342189646964e-18,-1.153197971627135e-18,1.5769342189646964e-18,1.153197971627135e-18,1.875784599332208e-18,2.2091010416787883e-18,3.33316442346581e-19,-297.020263671875
14,1187006834.003418,0.00341796875,-2047.99658203125,-2.5345036807429186e-18,-6.3718017332168885e-19,-3.4431644246024493e-19,-1.5858419270323037e-18,-1.1720000988416173e-18,1.5858419270323037e-18,1.1720000988416173e-18,1.8973235074212298e-18,2.1901872382826736e-18,2.928637308614438e-19,-297.02001953125
15,1187006834.003662,0.003662109375,-2047.996337890625,-2.539016674324598e-18,-6.425660277054071e-19,-3.429061351592975e-19,-1.5907913510150025e-18,-1.1748296123964345e-18,1.5907913510150025e-18,1.1748296123964345e-18,1.896450646619191e-18,2.1961105391653004e-18,2.996598925461096e-19,-297.019775390625
16,1187006834.0039062,0.00390625,-2047.99609375,-2.534552427832921e-18,-6.391906494011507e-19,-3.5134894087874923e-19,-1.5868715386170357e-18,-1.1750306727042736e-18,1.5868715386170357e-18,1.1750306727042736e-18,1.8953617784317705e-18,2.1832034869541722e-18,2.8784170852240144e-19,-297.01953125
