JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,R_AU,V_AU_PER_DAY
2461041.5,A.D. 2026-Jan-01 00:00:00.0000,-0.2152013043776677,-0.4092076157002721,-0.0137032695919236,0.0192318522828116,-0.0117376262775756,-0.0027231559251677,0.4625475691758201,0.0226947480940569
2461046.5,A.D. 2026-Jan-06 00:00:00.0000,-0.1123203406179568,-0.4521691317712433,-0.026650335833588,0.0216570623759097,-0.0053697209388288,-0.0024251912516269,0.4666722865602122,0.0224442377086393
2461051.5,A.D. 2026-Jan-11 00:00:00.0000,-0.0012773426020737,-0.4622964969475707,-0.0376627166036873,0.0224910602941458,0.0013641169994498,-0.0019513759358093,0.4638298857513258,0.0226167300109
2461056.5,A.D. 2026-Jan-16 00:00:00.0000,0.1098033502067391,-0.43823383158823,-0.0458844433657063,0.0216492263736929,0.008272824322211,-0.0013095630672558,0.4541046674590623,0.0232130045507403
2461061.5,A.D. 2026-Jan-21 00:00:00.0000,0.2121049605225888,-0.379672685230971,-0.0504816384335526,0.0189376422328907,0.0151137899899879,-0.0005017941756241,0.4378221762402184,0.0242345360714232
2461066.5,A.D. 2026-Jan-26 00:00:00.0000,0.2955644588838353,-0.2878620857276257,-0.0506334065681789,0.014054611646575,0.0214844081462771,0.0004666981811355,0.4156761619523687,0.0256774163249369
2461071.5,A.D. 2026-Jan-31 00:00:00.0000,0.3484396540835155,-0.1668017298935805,-0.0455896447223208,0.0066494029003786,0.0266521940776625,0.0015682196980046,0.3889876930434154,0.0275138750652496
2461076.5,A.D. 2026-Feb-05 00:00:00.0000,0.3575438721135262,-0.0254636619416914,-0.0348741272846353,-0.0034390310635585,0.0293205334366383,0.0027115772139879,0.3601419488469501,0.0296457967788447
2461081.5,A.D. 2026-Feb-10 00:00:00.0000,0.3106035527466648,0.1189678535751492,-0.0187655056636263,-0.0155284915886982,0.0275219339845446,0.0036734119098707,0.333136700718999,0.0318132811311484
2461086.5,A.D. 2026-Feb-15 00:00:00.0000,0.203121274251524,0.2390484767626539,0.0009058763805604,-0.0270190650123705,0.0193821830105082,0.0040620994970474,0.3136929181669945,0.0334992469276467
2461091.5,A.D. 2026-Feb-20 00:00:00.0000,0.0489821322408032,0.3029948212286051,0.020269071616563,-0.0334164716835742,0.0055282044176786,0.003516668445473,0.3075970517323065,0.0340527323546606
2461096.5,A.D. 2026-Feb-25 00:00:00.0000,-0.1173107113071269,0.2924726291914383,0.034661190401728,-0.0317640575415572,-0.0094252758968849,0.0021430697491882,0.3170227751023599,0.0332021674772242
2461101.5,A.D. 2026-Mar-02 00:00:00.0000,-0.2579640224398602,0.2155447212868684,0.0412748319671498,-0.0237688304880581,-0.0204391246696274,0.0005096794733843,0.3386865446130137,0.0313524304192865
2461106.5,A.D. 2026-Mar-07 00:00:00.0000,-0.3510524757808429,0.0974733140989081,0.0401635527347803,-0.01335172280664,-0.0259060076103872,-0.0008925264018269,0.3665405825847436,0.0291579549281624
2461111.5,A.D. 2026-Mar-12 00:00:00.0000,-0.3921664514699044,-0.0358927033664199,0.0330353591193624,-0.0032883630868256,-0.0268096149729997,-0.0018893626656141,0.3951887482780753,0.0270765300227615
2461116.5,A.D. 2026-Mar-17 00:00:00.0000,-0.3865049816530418,-0.1655308486605938,0.0219216713142079,0.0052616907091681,-0.0246434837381958,-0.0024965328757715,0.4210310230542671,0.0253223094577386
2461121.5,A.D. 2026-Mar-22 00:00:00.0000,-0.3425472576526386,-0.2791416031409887,0.0086053400215927,0.0120224905011009,-0.0205513914372818,-0.0027822003718134,0.4419646028884571,0.0239716625782685
2461126.5,A.D. 2026-Mar-27 00:00:00.0000,-0.2691921445737548,-0.3690622247526054,-0.0054712235229332,0.0170373905201463,-0.0152602621130595,-0.0028097480180673,0.4568383420055696,0.0230443693647773
2461131.5,A.D. 2026-Apr-01 00:00:00.0000,-0.1749118456247606,-0.430485336652892,-0.019138090451898,0.0204075206252419,-0.0092084240713902,-0.0026242729490275,0.4650570344798139,0.0225421556302682
2461136.5,A.D. 2026-Apr-06 00:00:00.0000,-0.0677579607314785,-0.4603372671379362,-0.0314055934714503,0.022190206754496,-0.0026686616524345,-0.0022533259700154,0.466355928513626,0.0224634037658945
2461141.5,A.D. 2026-Apr-11 00:00:00.0000,0.0443073647762561,-0.4566899474341429,-0.0413858931844806,0.0223597511053781,0.0041602530862049,-0.0017107946272444,0.4606969099261396,0.0228077397716728
2461146.5,A.D. 2026-Apr-16 00:00:00.0000,0.1529442983288015,-0.4185838859258383,-0.0482356658377501,0.0207883431972343,0.0110768328197346,-0.0010014228369861,0.4482533964253653,0.0235765622154882
2461151.5,A.D. 2026-Apr-21 00:00:00.0000,0.248895772345113,-0.3462500692752835,-0.0511247517977014,0.0172364362340642,0.017789318282328,-0.0001270836560291,0.4294787028605558,0.0247703598935615
2461156.5,A.D. 2026-Apr-26 00:00:00.0000,0.3214505606014254,-0.2418607416960492,-0.0492482664201417,0.011369212261944,0.0237860391640173,0.0009011160284087,0.4052807336034159,0.026378905524414
2461161.5,A.D. 2026-May-01 00:00:00.0000,0.3581780717420091,-0.1110987108466904,-0.0419305248947628,0.0028669285189709,0.0281348527809589,0.0020363242615837,0.3773494713744418,0.028353762301279
2461166.5,A.D. 2026-May-06 00:00:00.0000,0.3457789424455671,0.0341451414320981,-0.0289235061078575,-0.0081996771480371,0.0292551588620751,0.0031428810700712,0.3486624971627491,0.0305446677310117
2461171.5,A.D. 2026-May-11 00:00:00.0000,0.2739915567816034,0.1725177358943953,-0.0110310865402739,-0.0204980713091705,0.0250354971033926,0.0039260141323244,0.3239682503826477,0.0325938741112042
2461176.5,A.D. 2026-May-16 00:00:00.0000,0.1445611818916093,0.2733567419612192,0.0090808326522557,-0.0304887958189783,0.014260247484234,0.0039617486662961,0.3093611242661395,0.0338912493322075
2461181.5,A.D. 2026-May-21 00:00:00.0000,-0.019422147739241,0.3078408240927554,0.0269391140739873,-0.0337226966059703,-0.0007504605573135,0.0030316281678941,0.3096270477009445,0.0338670079395091
2461186.5,A.D. 2026-May-26 00:00:00.0000,-0.1792240592013412,0.2679912009882471,0.0383390839127784,-0.0290604323785787,-0.0145508413649046,0.0014762028251229,0.3246697284302926,0.0325332889397532
2461191.5,A.D. 2026-May-31 00:00:00.0000,-0.3020714601686798,0.170973525606251,0.0416777085486722,-0.0196309049707956,-0.0233038812373996,-0.0001039788882633,0.3495942575279773,0.0304705451593574
2461196.5,A.D. 2026-Jun-05 00:00:00.0000,-0.3738525219437688,0.0439057883817472,0.0378768573761693,-0.0091274535610694,-0.0267352803132316,-0.0013477560234709,0.3783227230048884,0.0282825399891054
2461201.5,A.D. 2026-Jun-10 00:00:00.0000,-0.3950577125829085,-0.0898180988068179,0.0288933459441707,0.0003942073313986,-0.0262249953888174,-0.0021793571480393,0.4061683303562216,0.0263183468352846
2461206.5,A.D. 2026-Jun-15 00:00:00.0000,-0.372761488157425,-0.2141203734069886,0.0166899613003199,0.0082240372058772,-0.0231645520964965,-0.0026473786582001,0.4302060159615303,0.0247232658755846
2461211.5,A.D. 2026-Jun-20 00:00:00.0000,-0.3158095356971322,-0.3188397094165087,0.0029084331459908,0.0142637401244008,-0.0185172864716508,-0.0028215323386622,0.4487793245253246,0.0235436875902595
2461216.5,A.D. 2026-Jun-25 00:00:00.0000,-0.2329633960492304,-0.3976494782256871,-0.0111306124440933,0.018599604010493,-0.0128760925797362,-0.0027581859671585,0.4609999370556707,0.0227891776792958
2461221.5,A.D. 2026-Jun-30 00:00:00.0000,-0.1324984296468913,-0.4465478646476112,-0.0243411339240204,0.0213222418609308,-0.0065991779723416,-0.0024949245749848,0.4664261142785003,0.0224591138854927
2461226.5,A.D. 2026-Jul-05 00:00:00.0000,-0.0223800629845934,-0.4629724354258791,-0.0357831487413088,0.0224583231209676,8.042101564196069e-05,-0.0020532390439342,0.4648922207535923,0.0225521292900932
2461231.5,A.D. 2026-Jul-10 00:00:00.0000,0.0893375854201614,-0.4453884206693852,-0.0445925257777965,0.0219424632428533,0.0069720685795268,-0.0014427123584483,0.4564433620837501,0.0230686551925077
